date,EVI
2000-02-18,0.4346
2000-03-05,0.396
2000-03-21,0.3985
2000-04-06,0.39929998
2000-04-22,0.3798
2000-05-08,0.3445
2000-05-24,0.33359998
2000-06-09,0.31599998
2000-06-25,0.3028
2000-07-11,0.2927
2000-07-27,0.29709998
2000-08-12,0.3037
2000-08-28,0.3002
2000-09-13,0.2902
2000-09-29,0.34309998
2000-10-15,0.36609998
2000-10-31,0.412
2000-11-16,0.3653
2000-12-02,0.4386
2000-12-18,0.4324
2001-01-03,0.42479998
2001-01-19,0.42584997
2001-02-04,0.4269
2001-02-20,0.4414
2001-03-08,0.43129998
2001-03-24,0.3773
2001-04-09,0.3997
2001-04-25,0.36879998
2001-05-11,0.3312
2001-05-27,0.3259
2001-06-12,0.3233
2001-06-28,0.29299998
2001-07-14,0.30859998
2001-07-30,0.2753
2001-08-15,0.27109998
2001-08-31,0.2753
2001-09-16,0.2699
2001-10-02,0.29029998
2001-10-18,0.34719998
2001-11-03,0.3365
2001-11-19,0.34939998
2001-12-05,0.40489998
2001-12-21,0.3293
2002-01-06,0.2829
2002-01-22,0.3628
2002-02-07,0.4461
2002-02-23,0.359
2002-03-11,0.39699998
2002-03-27,0.32709998
2002-04-12,0.3929
2002-04-28,0.35459998
2002-05-14,0.33139998
2002-05-30,0.3062
2002-06-15,0.326
2002-07-01,0.31379998
2002-07-17,0.3008
2002-08-02,0.2893
2002-08-18,0.28
2002-09-03,0.2611
2002-09-19,0.2926
2002-10-05,0.3197
2002-10-21,0.3146
2002-11-06,0.35459998
2002-11-22,0.3338
2002-12-08,0.35459998
2002-12-24,0.3405
2003-01-09,0.43109998
2003-01-25,0.38459998
2003-02-10,0.4312
2003-02-26,0.355
2003-03-14,0.3787
2003-03-30,0.3479
2003-04-15,0.3719
2003-05-01,0.325
2003-05-17,0.3286
2003-06-02,0.3195
2003-06-18,0.3105
2003-07-04,0.2994
2003-07-20,0.2995
2003-08-05,0.3066
2003-08-21,0.2883
2003-09-06,0.2927
2003-09-22,0.32729998
2003-10-08,0.3444
2003-10-24,0.32979998
2003-11-09,0.37809998
2003-11-25,0.3593
2003-12-11,0.33049998
2003-12-27,0.4233
2004-01-12,0.4188
2004-01-28,0.44349998
2004-02-13,0.4312
2004-02-29,0.42249998
2004-03-16,0.4161
2004-04-01,0.39119998
2004-04-17,0.3454
2004-05-03,0.3515
2004-05-19,0.3152
2004-06-04,0.29979998
2004-06-20,0.2936
2004-07-06,0.29479998
2004-07-22,0.2818
2004-08-07,0.278
2004-08-23,0.273
2004-09-08,0.27019998
2004-09-24,0.2798
2004-10-10,0.2972
2004-10-26,0.38079998
2004-11-11,0.3338
2004-11-27,0.3601
2004-12-13,0.35799998
2004-12-29,0.3771
2005-01-14,0.4303
2005-01-30,0.35189998
2005-02-15,0.39209998
2005-03-03,0.4247
2005-03-19,0.3962
2005-04-04,0.3516
2005-04-20,0.40129998
2005-05-06,0.3372
2005-05-22,0.3365
2005-06-07,0.3204
2005-06-23,0.3121
2005-07-09,0.322
2005-07-25,0.28599998
2005-08-10,0.2926
2005-08-26,0.29189998
2005-09-11,0.2826
2005-09-27,0.3042
2005-10-13,0.3803
2005-10-29,0.35029998
2005-11-14,0.3487
2005-11-30,0.3585
2005-12-16,0.3593
2006-01-01,0.38459998
2006-01-17,0.3678
2006-02-02,0.3608
2006-02-18,0.3685
2006-03-06,0.3398
2006-03-22,0.43179998
2006-04-07,0.36229998
2006-04-23,0.3461
2006-05-09,0.3626
2006-05-25,0.32209998
2006-06-10,0.31689999
2006-06-26,0.3419
2006-07-12,0.2972
2006-07-28,0.28779998
2006-08-13,0.24329999
2006-08-29,0.24149999
2006-09-14,0.2645
2006-09-30,0.2747
2006-10-16,0.3701
2006-11-01,0.3705
2006-11-17,0.3741
2006-12-03,0.3945
2006-12-19,0.4141
2007-01-04,0.3102
2007-01-20,0.4348
2007-02-05,0.3712
2007-02-21,0.4737
2007-03-09,0.4622
2007-03-25,0.3574
2007-04-10,0.34149998
2007-04-26,0.3816
2007-05-12,0.3533
2007-05-28,0.3366
2007-06-13,0.3013
2007-06-29,0.3094
2007-07-15,0.31599998
2007-07-31,0.3123
2007-08-16,0.3057
2007-09-01,0.2981
2007-09-17,0.2935
2007-10-03,0.2462
2007-10-19,0.2324
2007-11-04,0.253
2007-11-20,0.2616
2007-12-06,0.31579998
2007-12-22,0.40539998
2008-01-07,0.3287
2008-01-23,0.4364
2008-02-08,0.47779998
2008-02-24,0.4666
2008-03-11,0.4958
2008-03-27,0.466
2008-04-12,0.40579998
2008-04-28,0.3924
2008-05-14,0.36409998
2008-05-30,0.33789998
2008-06-15,0.3198
2008-07-01,0.30679998
2008-07-17,0.29909998
2008-08-02,0.2944
2008-08-18,0.2935
2008-09-03,0.2924
2008-09-19,0.247
2008-10-05,0.2647
2008-10-21,0.2619
2008-11-06,0.2619
2008-11-22,0.3459
2008-12-08,0.3198
2008-12-24,0.3383
2009-01-09,0.3619
2009-01-25,0.489
2009-02-10,0.4746
2009-02-26,0.46159998
2009-03-14,0.4446
2009-03-30,0.41009998
2009-04-15,0.40289998
2009-05-01,0.3615
2009-05-17,0.3566
2009-06-02,0.35209998
2009-06-18,0.3321
2009-07-04,0.31329998
2009-07-20,0.3069
2009-08-05,0.3062
2009-08-21,0.3046
2009-09-06,0.3418
2009-09-22,0.33229998
2009-10-08,0.3574
2009-10-24,0.4006
2009-11-09,0.35619998
2009-11-25,0.3064
2009-12-11,0.345
2009-12-27,0.30859998
2010-01-12,0.33449998
2010-01-28,0.3674
2010-02-13,0.4376
2010-03-01,0.42209998
2010-03-17,0.4346
2010-04-02,0.3811
2010-04-18,0.36389998
2010-05-04,0.3766
2010-05-20,0.29189998
2010-06-05,0.2631
2010-06-21,0.2276
2010-07-07,0.19489999
2010-07-23,0.17809999
2010-08-08,0.17119999
2010-08-24,0.1656
2010-09-09,0.1677
2010-09-25,0.18859999
2010-10-11,0.1858
2010-10-27,0.2147
2010-11-12,0.2148
2010-11-28,0.22129999
2010-12-14,0.2846
2010-12-30,0.4432
2011-01-15,0.61759996
2011-01-31,0.6368
2011-02-16,0.81399995
2011-03-04,0.60899997
2011-03-20,0.4272
2011-04-05,0.30859998
2011-04-21,0.22109999
2011-05-07,0.2271
2011-05-23,0.22459999
2011-06-08,0.2137
2011-06-24,0.1401
2011-07-10,0.1268
2011-07-26,0.0991
2011-08-11,0.0995
2011-08-27,0.0959
2011-09-12,0.095
2011-09-28,0.1165
2011-10-14,0.1117
2011-10-30,0.1433
2011-11-15,0.1451
2011-12-01,0.1893
2011-12-17,0.49989998
2012-01-02,0.5952
2012-01-18,0.68299997
2012-02-03,0.63909996
2012-02-19,0.65929997
2012-03-06,0.45069999
2012-03-22,0.1902
2012-04-07,0.1674
2012-04-23,0.2812
2012-05-09,0.2934
2012-05-25,0.26119998
2012-06-10,0.1894
2012-06-26,0.16309999
2012-07-12,0.1529
2012-07-28,0.1432
2012-08-13,0.14649999
2012-08-29,0.1409
2012-09-14,0.1358
2012-09-30,0.12709999
2012-10-16,0.1336
2012-11-01,0.0928
2012-11-17,0.25509998
2012-12-03,0.1282
2012-12-19,0.3247
2013-01-04,0.3604
2013-01-20,0.7187
2013-02-05,0.7102
2013-02-21,0.7172
2013-03-09,0.4813
2013-03-25,0.281
2013-04-10,0.2136
2013-04-26,0.17109999
2013-05-12,0.2609
2013-05-28,0.37199998
2013-06-13,0.28079998
2013-06-29,0.1962
2013-07-15,0.1511
2013-07-31,0.1442
2013-08-16,0.1454
2013-09-01,0.14389999
2013-09-17,0.1406
2013-10-03,0.1428
2013-10-19,0.16569999
2013-11-04,0.33949998
2013-11-20,0.1909
2013-12-06,0.2696
